iter	RMSE
0	4.487640372
1	4.148601252
2	3.836022907
3	3.610702255
4	3.399187146
5	3.175123083
6	2.96103052
7	2.732739205
8	2.576218353
9	2.400532339
10	2.221440873
11	2.076595991
12	1.951118253
13	1.833104121
14	1.698218717
15	1.573968892
16	1.474967103
17	1.377629652
18	1.279131335
19	1.189512733
20	1.109870825
21	1.055947663
22	0.9815106761
23	0.9117984757
24	0.8502631855
25	0.7898037118
26	0.7325875034
27	0.6811643881
28	0.6405135046
29	0.6047955657
30	0.5612489682
31	0.5255475627
32	0.5006846947
33	0.4677837965
34	0.4416950887
35	0.4160240276
36	0.3859577025
37	0.3624992725
38	0.3380311364
39	0.3161611538
40	0.2964733834
41	0.2812618618
42	0.2620328823
43	0.2427641281
44	0.2264336184
45	0.2098533748
46	0.1980283318
47	0.1865817187
48	0.1738617681
49	0.1656475098
50	0.1554478158
51	0.1446327272
52	0.1386516828
53	0.1288533561
54	0.1202493893
55	0.1119925547
56	0.1051023628
57	0.09838101838
58	0.09191944472
59	0.08521179746
60	0.07902427811
61	0.07358753811
62	0.06841930571
63	0.0646207836
64	0.06053632289
65	0.05636323112
66	0.05268470721
67	0.04917768603
68	0.04638308009
69	0.04333450445
70	0.04034367023
71	0.03732538149
72	0.03498005851
73	0.03281965536
74	0.03038531632
75	0.02840623049
76	0.02648126776
77	0.0248942903
78	0.02319586457
79	0.02158154643
80	0.02006991224
81	0.01887445076
82	0.0176136858
83	0.01645905302
84	0.01532799929
85	0.01424822324
86	0.01319045218
87	0.01242677846
88	0.01165472593
89	0.01084056112
90	0.01013928628
91	0.009400921377
92	0.008858522677
93	0.008299495835
94	0.007839632353
95	0.007320129197
96	0.006826060395
97	0.006322739914
98	0.005866751332
99	0.005471820147
100	0.005103846214
101	0.004721140191
102	0.004427519648
103	0.004147536551
104	0.003872647864
105	0.00361358937
106	0.003387246736
107	0.00317711339
108	0.002973399812
109	0.002771064415
110	0.002567225436
111	0.002388463571
112	0.002204782689
113	0.002065920794
114	0.001940889685
115	0.001796706019
116	0.001660029757
117	0.001552764588
118	0.001454753299
119	0.001369958465
120	0.001279688433
121	0.00118988766
122	0.001112169332
123	0.001030877496
124	0.0009558374908
125	0.0008948197246
126	0.0008440295265
127	0.0007907283098
128	0.0007385034481
129	0.000694121437
130	0.0006463917093
131	0.0006029122512
132	0.0005634205219
133	0.0005306094963
134	0.0004964610708
135	0.0004653164726
136	0.000430307757
137	0.0004016874985
138	0.0003758083416
139	0.0003510509467
140	0.0003251401233
141	0.000312256735
142	0.0002905688319
143	0.000269637759
144	0.000253380104
145	0.0002375427695
146	0.0002210359294
147	0.00020796237
148	0.0001932205953
149	0.00018021174
150	0.0001685318883
151	0.0001578624697
152	0.0001465249281
153	0.0001369652662
154	0.0001268294614
155	0.0001188909249
156	0.0001118065087
157	0.0001044082548
158	9.788540453e-05
159	9.17271581e-05
160	8.599198796e-05
161	8.06738898e-05
162	7.499967705e-05
163	7.023318959e-05
164	6.54049198e-05
165	6.151896312e-05
166	5.720094073e-05
167	5.291435448e-05
168	4.916968948e-05
169	4.587869678e-05
170	4.284684942e-05
171	3.99870955e-05
172	3.727046035e-05
173	3.490414708e-05
174	3.230625419e-05
175	2.998989458e-05
176	2.807153056e-05
177	2.611870919e-05
178	2.429240728e-05
179	2.261040982e-05
180	2.10344742e-05
181	1.965465465e-05
182	1.816281598e-05
183	1.696694412e-05
184	1.589430314e-05
185	1.477909685e-05
186	1.367019054e-05
187	1.275250333e-05
188	1.18087541e-05
189	1.095439272e-05
190	1.028166894e-05
191	9.526645337e-06
192	8.84445055e-06
193	8.265579347e-06
194	7.749493329e-06
195	7.237684012e-06
196	6.675256307e-06
197	6.274780406e-06
198	5.883743385e-06
199	5.479705078e-06
200	5.140605773e-06
201	4.772527836e-06
202	4.475240726e-06
203	4.197773932e-06
204	3.937474665e-06
205	3.669110483e-06
206	3.44413918e-06
207	3.250594624e-06
208	3.018004699e-06
209	2.783685897e-06
210	2.606894999e-06
211	2.423367525e-06
212	2.278901694e-06
213	2.13670521e-06
214	1.978567308e-06
215	1.853682498e-06
216	1.743938224e-06
217	1.624078718e-06
218	1.518434781e-06
219	1.408396575e-06
220	1.31777851e-06
221	1.238149008e-06
222	1.151043852e-06
223	1.074791706e-06
224	9.984392671e-07
225	9.290027105e-07
226	8.659611211e-07
227	8.071359213e-07
228	7.57555298e-07
229	7.086369461e-07
230	6.620876153e-07
231	6.203496024e-07
232	5.76262275e-07
233	5.371690365e-07
234	4.989860821e-07
235	4.646558317e-07
236	4.335739847e-07
237	4.123376974e-07
238	3.860287891e-07
239	3.60458999e-07
240	3.367845212e-07
241	3.173180153e-07
242	2.961037202e-07
243	2.774839489e-07
244	2.614783514e-07
245	2.443663817e-07
246	2.287185525e-07
247	2.133858115e-07
248	1.977306229e-07
249	1.854725146e-07
250	1.742783456e-07
251	1.635744801e-07
252	1.531542424e-07
253	1.434139162e-07
254	1.34194239e-07
255	1.26796913e-07
256	1.184458977e-07
257	1.115016883e-07
258	1.032843833e-07
259	9.551638392e-08
260	8.993105837e-08
261	8.417720177e-08
262	7.943193627e-08
263	7.366419156e-08
264	6.855344548e-08
265	6.37567331e-08
266	5.916536964e-08
267	5.546964938e-08
268	5.172929091e-08
269	4.884307242e-08
270	4.58069465e-08
271	4.238701309e-08
272	3.992242448e-08
273	3.714040712e-08
274	3.485044728e-08
275	3.248273088e-08
276	3.082788129e-08
277	2.88609853e-08
278	2.667757898e-08
279	2.470802622e-08
280	2.288408866e-08
281	2.136191842e-08
282	2.011244471e-08
283	1.882667136e-08
284	1.754113934e-08
285	1.656006022e-08
286	1.549843685e-08
287	1.455386021e-08
288	1.350510135e-08
289	1.264388765e-08
290	1.192205361e-08
291	1.125493353e-08
292	1.068693722e-08
293	1.001802025e-08
294	9.378547298e-09
295	8.684338268e-09
296	8.104326623e-09
297	7.615136752e-09
298	7.16109524e-09
299	6.759912312e-09
300	6.249424901e-09
301	5.901046118e-09
302	5.636945844e-09
303	5.303227159e-09
304	4.930509526e-09
305	4.651376519e-09
306	4.351024284e-09
307	4.066534097e-09
308	3.813003808e-09
309	3.532709533e-09
