iter	Passed	Remaining
0	1	442
1	2	449
2	4	436
3	5	414
4	6	403
5	7	398
6	9	392
7	10	386
8	11	390
9	12	389
10	14	384
11	15	388
12	16	384
13	18	381
14	19	377
15	24	451
16	25	445
17	27	442
18	39	600
19	40	586
20	42	579
21	43	573
22	44	560
23	46	552
24	51	590
25	53	581
26	54	575
27	56	572
28	58	563
29	59	557
30	65	587
31	66	579
32	68	573
33	70	571
34	72	568
35	78	595
36	80	590
37	82	587
38	83	580
39	85	579
40	106	696
41	107	688
42	109	679
43	111	671
44	113	666
45	116	670
46	118	661
47	130	714
48	136	724
49	137	715
50	139	709
51	140	699
52	142	692
53	144	684
54	145	676
55	147	670
56	149	662
57	151	656
58	152	649
59	154	643
60	155	636
61	159	637
62	160	630
63	163	628
64	166	625
65	167	619
66	169	614
67	174	620
68	176	614
69	177	609
70	179	603
71	180	598
72	182	593
73	184	587
74	186	583
75	187	577
76	189	572
77	194	578
78	195	573
79	197	568
80	199	563
81	200	558
82	205	561
83	207	556
84	208	551
85	209	546
86	211	541
87	212	536
88	216	538
89	218	533
90	219	528
91	221	523
92	222	519
93	223	514
94	224	509
95	226	504
96	267	586
97	269	582
98	271	578
99	273	573
100	274	567
101	276	562
102	277	557
103	278	552
104	280	548
105	282	544
106	286	543
107	289	540
108	292	539
109	294	536
110	300	539
111	306	541
112	308	538
113	310	533
114	311	529
115	317	531
116	319	527
117	321	522
118	323	519
119	325	516
120	328	513
121	330	509
122	336	510
123	338	507
124	341	505
125	343	501
126	348	502
127	351	500
128	356	499
129	358	496
130	362	495
131	365	492
132	374	498
133	376	494
134	379	491
135	380	487
136	387	489
137	389	485
138	392	482
139	400	486
140	402	481
141	403	477
142	406	474
143	414	477
144	417	475
145	420	472
146	445	493
147	451	493
148	453	489
149	455	486
150	457	482
151	459	478
152	461	473
153	462	468
154	464	464
155	471	465
156	473	461
157	474	456
158	476	452
159	478	448
160	480	444
161	481	440
162	487	439
163	506	451
164	510	448
165	511	443
166	513	439
167	515	435
168	517	431
169	519	427
170	520	423
171	522	418
172	523	414
173	525	410
174	527	406
175	528	402
176	530	398
177	531	394
178	532	389
179	535	386
180	536	382
181	537	378
182	542	376
183	543	372
184	544	368
185	547	364
186	548	361
187	550	357
188	555	355
189	556	351
190	558	348
191	560	344
192	561	340
193	566	338
194	568	335
195	569	331
196	571	327
197	573	324
198	574	320
199	579	318
200	581	315
201	582	311
202	584	308
203	586	304
204	587	300
205	589	297
206	594	295
207	595	292
208	597	288
209	598	284
210	599	281
211	603	279
212	605	275
213	607	272
214	609	269
215	610	265
216	612	262
217	613	258
218	614	255
219	616	252
220	617	248
221	620	245
222	627	244
223	630	242
224	632	239
225	634	235
226	639	233
227	643	231
228	644	227
229	646	224
230	649	222
231	650	218
232	652	215
233	653	212
234	655	209
235	656	205
236	658	202
237	663	200
238	665	197
239	666	194
240	668	191
241	669	188
242	670	184
243	675	182
244	677	179
245	678	176
246	680	173
247	681	170
248	682	167
249	687	165
250	689	162
251	691	159
252	692	156
253	694	153
254	696	150
255	702	148
256	704	145
257	705	142
258	707	139
259	708	136
260	712	133
261	713	130
262	716	128
263	718	125
264	720	122
265	725	120
266	727	117
267	729	114
268	730	111
269	737	109
270	769	110
271	770	107
272	772	104
273	773	101
274	775	98
275	776	95
276	778	92
277	780	89
278	781	86
279	785	84
280	787	81
281	788	78
282	823	78
283	827	75
284	829	72
285	830	69
286	833	66
287	836	63
288	837	60
289	839	57
290	841	54
291	842	51
292	848	49
293	849	46
294	850	43
295	852	40
296	854	37
297	855	34
298	856	31
299	858	28
300	861	25
301	863	22
302	864	19
303	867	17
304	869	14
305	872	11
306	874	8
307	879	5
308	880	2
309	882	0
